origen,destino,minutos
100,101,20
101,102,14
102,103,11
103,104,3
104,105,2
105,106,2
106,107,5
107,108,1
108,109,2
109,110,3
110,111,20
111,112,6
112,113,15
113,114,5
114,115,18
115,116,9
116,117,17
117,118,6
118,119,1
119,120,19
120,121,2
121,122,6
122,123,3
123,124,1
124,125,11
125,126,9
126,127,16
127,128,11
128,129,8
129,130,14
130,131,6
131,132,15
132,133,12
133,134,20
134,135,12
135,136,20
136,137,20
137,138,17
138,139,11
139,140,14
140,141,7
141,142,7
142,143,1
143,144,14
144,145,3
145,146,15
146,147,9
105,124,3
100,130,3
103,107,18
128,130,18
137,134,7
101,136,2
147,131,3
110,134,12
119,100,15
130,118,15
143,134,2
128,126,10
145,137,8
134,117,10
137,101,8
139,115,5
120,133,9
140,103,18
127,119,1
117,138,11
128,112,7
104,110,8
127,126,11
